"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 06- 19","5,870","5,885","5,890","5,860","594.18K","-0.09%"
"2024- 06- 18","5,875","5,885","5,890","5,860","909.16K","-0.25%"
"2024- 06- 17","5,890","5,845","5,890","5,840","967.11K","0.00%"
"2024- 06- 14","5,890","5,915","5,915","5,885","610.49K","-0.59%"
"2024- 06- 13","5,925","5,955","5,985","5,915","866.83K","0.25%"
"2024- 06- 12","5,910","5,895","5,915","5,880","731.81K","0.17%"
"2024- 06- 11","5,900","5,925","5,925","5,895","613.53K","-0.25%"
"2024- 06- 10","5,915","5,895","5,920","5,870","1.26M","-1.33%"
"2024- 06- 07","5,995","5,990","6,025","5,970","509.72K","0.76%"
"2024- 06- 05","5,950","5,940","5,990","5,915","528.63K","0.51%"
"2024- 06- 04","5,920","5,945","5,970","5,910","396.89K","0.08%"
"2024- 06- 03","5,915","5,870","5,930","5,860","498.75K","1.02%"
"2024- 05- 31","5,855","5,915","5,915","5,840","832.39K","-0.76%"
"2024- 05- 30","5,900","5,960","5,960","5,885","1.08M","-2.07%"
"2024- 05- 29","6,025","6,025","6,035","6,005","205.87K","-0.99%"
"2024- 05- 28","6,085","6,050","6,100","6,035","532.28K","1.00%"
"2024- 05- 27","6,025","6,005","6,025","6,000","157.66K","0.67%"
"2024- 05- 24","5,985","5,980","5,995","5,955","516.19K","-0.83%"
"2024- 05- 23","6,035","6,000","6,045","5,990","362.20K","-0.08%"
"2024- 05- 22","6,040","6,010","6,055","6,005","202.18K","0.08%"
"2024- 05- 21","6,035","6,050","6,050","6,000","673.52K","-0.98%"
"2024- 05- 20","6,095","6,105","6,110","6,075","173.31K","-0.16%"
"2024- 05- 17","6,105","6,155","6,165","6,075","342.54K","-1.21%"
"2024- 05- 16","6,180","6,090","6,185","6,030","1.70M","3.09%"
"2024- 05- 14","5,995","6,005","6,010","5,980","155.12K","0.00%"
"2024- 05- 13","5,995","5,985","6,005","5,955","218.28K","-0.08%"
"2024- 05- 10","6,000","6,005","6,020","5,990","668.73K","0.25%"
"2024- 05- 09","5,985","6,035","6,040","5,975","1.10M","-0.75%"
"2024- 05- 08","6,030","6,070","6,070","6,010","420.19K","-0.66%"
"2024- 05- 07","6,070","6,095","6,110","6,070","913.18K","0.58%"
"2024- 05- 03","6,035","5,990","6,055","5,975","1.25M","1.86%"
"2024- 05- 02","5,925","5,905","5,945","5,880","390.34K","0.68%"
"2024- 04- 30","5,885","5,945","5,960","5,885","408.23K","-0.68%"
"2024- 04- 29","5,925","5,930","5,950","5,865","612.68K","-0.34%"
"2024- 04- 26","5,945","5,960","5,960","5,915","174.91K","-0.08%"
"2024- 04- 25","5,950","5,930","5,950","5,915","251.76K","-0.67%"
"2024- 04- 24","5,990","5,970","6,010","5,960","718.95K","1.27%"
"2024- 04- 23","5,915","5,920","5,940","5,905","340.65K","0.17%"
"2024- 04- 22","5,905","5,935","5,935","5,875","431.07K","0.25%"
"2024- 04- 19","5,890","5,900","5,905","5,795","1.39M","-1.26%"
"2024- 04- 18","5,965","5,905","5,980","5,890","1.21M","1.79%"
